measure	type
Faecalibacterium_prausnitzii.t__SGB15316	species_relab
Candidatus_Cibionibacter_quicibialis.t__SGB15286	species_relab
Faecalibacterium_SGB15346.t__SGB15346	species_relab
Faecalibacterium_prausnitzii.t__SGB15318	species_relab
Blautia_wexlerae.t__SGB4837	species_relab
Fusicatenibacter_saccharivorans.t__SGB4874	species_relab
Anaerostipes_hadrus.t__SGB4540	species_relab
Faecalibacterium_prausnitzii.t__SGB15342	species_relab
Faecalibacterium_prausnitzii.t__SGB15332	species_relab
Clostridiales_bacterium_KLE1615.t__SGB5090	species_relab
Agathobaculum_butyriciproducens.t__SGB14993	species_relab
Alistipes_putredinis.t__SGB2318	species_relab
Faecalibacterium_prausnitzii.t__SGB15317	species_relab
Clostridium_sp_AM49_4BH.t__SGB4652	species_relab
Ruminococcus_bicirculans.t__SGB4262	species_relab
Blautia_sp_MCC283.t__SGB4828	species_relab
Ruminococcus_bromii.t__SGB4285	species_relab
Anaerobutyricum_hallii.t__SGB4532	species_relab
Mediterraneibacter_faecis.t__SGB4563	species_relab
Clostridiaceae_bacterium.t__SGB4269	species_relab
Lawsonibacter_asaccharolyticus.t__SGB15154	species_relab
Blautia_massiliensis.t__SGB4826	species_relab
Clostridium_sp_AF36_4.t__SGB4644	species_relab
Clostridium_sp_AM22_11AC.t__SGB4749	species_relab
Romboutsia_timonensis.t__SGB6148	species_relab
Bacteroides_caccae.t__SGB1877	species_relab
Fusicatenibacter_sp_CLA_AA_H277.t__SGB4780	species_relab
Coprococcus_comes.t__SGB4577	species_relab
Oliverpabstia_intestinalis.t__SGB4868	species_relab
Oscillibacter_valericigenes.t__SGB15053	species_relab
Dysosmobacter_welbionis.t__SGB15078	species_relab
Dorea_longicatena.t__SGB4582	species_relab
Faecalicatena_fissicatena.t__SGB4871	species_relab
Alistipes_communis.t__SGB2290	species_relab
Alistipes_onderdonkii.t__SGB2303	species_relab
Bacteroides_cellulosilyticus.t__SGB1844	species_relab
Roseburia_faecis.t__SGB4925	species_relab
Blautia_luti.t__SGB4832	species_relab
Dorea_formicigenerans.t__SGB4575	species_relab
Coprococcus_catus.t__SGB4670	species_relab
Blautia_obeum.t__SGB4811	species_relab
Lacrimispora_amygdalina.t__SGB4716	species_relab
Dorea_sp_AF36_15AT.t__SGB4552	species_relab
Escherichia_coli.t__SGB10068	species_relab
Eubacterium_rectale.t__SGB4933	species_relab
GGB9699_SGB15216.t__SGB15216	species_relab
Oscillibacter_sp_ER4.t__SGB15254	species_relab
Lachnospiraceae_bacterium_CLA_AA_H244.t__SGB4993	species_relab
Ruminococcus_gnavus.t__SGB4571	species_relab
Odoribacter_splanchnicus.t__SGB1790	species_relab
Eubacterium_ventriosum.t__SGB5045	species_relab
Intestinibacter_bartlettii.t__SGB6140	species_relab
Roseburia_inulinivorans.t__SGB4940	species_relab
Blautia_SGB4815.t__SGB4815	species_relab
Lachnospira_eligens.t__SGB5082	species_relab
Ruminococcus_torques.t__SGB4608	species_relab
Eubacteriaceae_bacterium.t__SGB5043	species_relab
Bacteroides_ovatus.t__SGB1871	species_relab
Bifidobacterium_adolescentis.t__SGB17244	species_relab
Dorea_longicatena.t__SGB4581	species_relab
Gemmiger_formicilis.t__SGB15300	species_relab
Gemmiger_formicilis.t__SGB15299	species_relab
Faecalibacillus_intestinalis.t__SGB6754	species_relab
Adlercreutzia_equolifaciens.t__SGB14797	species_relab
Phocaeicola_dorei.t__SGB1815	species_relab
Barnesiella_intestinihominis.t__SGB1965	species_relab
Lachnospiraceae_bacterium.t__SGB4781	species_relab
GGB47687_SGB2286.t__SGB2286	species_relab
Alistipes_finegoldii.t__SGB2301	species_relab
Senegalimassilia_anaerobia.t__SGB14824_group	species_relab
Eubacterium_ramulus.t__SGB4959	species_relab
Blautia_wexlerae.t__SGB4831	species_relab
Veillonella_parvula.t__SGB6939	species_relab
PWY.7238..sucrose.biosynthesis.II	pathway_relab
VALSYN.PWY..L.valine.biosynthesis	pathway_relab
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	pathway_relab
PWY.5941..glycogen.degradation.II	pathway_relab
PWY.1042..glycolysis.IV	pathway_relab
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	pathway_relab
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	pathway_relab
PWY.5686..UMP.biosynthesis.I	pathway_relab
PWY.7790..UMP.biosynthesis.II	pathway_relab
PWY.7791..UMP.biosynthesis.III	pathway_relab
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	pathway_relab
ARO.PWY..chorismate.biosynthesis.I	pathway_relab
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	pathway_relab
DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	pathway_relab
PWY.6609..adenine.and.adenosine.salvage.III	pathway_relab
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	pathway_relab
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	pathway_relab
PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	pathway_relab
GLUTORN.PWY..L.ornithine.biosynthesis.I	pathway_relab
PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	pathway_relab
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	pathway_relab
TRNA.CHARGING.PWY..tRNA.charging	pathway_relab
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	pathway_relab
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	pathway_relab
PWY0.1296..purine.ribonucleosides.degradation	pathway_relab
PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	pathway_relab
COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	pathway_relab
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	pathway_relab
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.	pathway_relab
PWY.6700..queuosine.biosynthesis.I..de.novo.	pathway_relab
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	pathway_relab
PWY.5667..CDP.diacylglycerol.biosynthesis.I	pathway_relab
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	pathway_relab
PWY.5097..L.lysine.biosynthesis.VI	pathway_relab
PWY.6151..S.adenosyl.L.methionine.salvage.I	pathway_relab
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	pathway_relab
CALVIN.PWY..Calvin.Benson.Bassham.cycle	pathway_relab
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.	pathway_relab
PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	pathway_relab
PWY.3841..folate.transformations.II..plants.	pathway_relab
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	pathway_relab
HISTSYN.PWY..L.histidine.biosynthesis	pathway_relab
PWY.6123..inosine.5..phosphate.biosynthesis.I	pathway_relab
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	pathway_relab
PWY.5695..inosine.5..phosphate.degradation	pathway_relab
